parameter,unit,gt_rms,unregularized_rmse,unregularized_r2,unregularized_pearson_r,unregularized_max_abs_error,intrinsic001_rmse,intrinsic001_r2,intrinsic001_pearson_r,intrinsic001_max_abs_error
delta_u_mm,mm,1.177876569246777,2.2829229256857704,-2.756496022983365,-0.05255964395152091,4.235311947110887,1.3177931699973449,-0.2516846870772447,0.08505308166604836,2.2812401927402846
delta_f_mm,mm,1.1573966566960177,2.3491658521763243,-3.1196745775328276,-0.40794979561730993,4.644045844523362,1.3146818837711038,-0.29025903781548257,0.09840036652093251,3.0838851803769103
delta_v_mm,mm,1.040418776705129,0.8740684096273036,0.2942116493399487,0.7648435589973938,1.883016901083522,0.7191437281980814,0.5222342293875043,0.8632164100281716,1.5067760099051384
translation_x_mm,mm,0.9802260353654864,1.887030240251859,-2.705998617497129,0.6587562270639268,3.0352201884654297,1.0341894099564863,-0.1131346600441856,0.8275874970288151,1.9011426754264158
translation_y_mm,mm,0.806307762526941,0.8042501045746395,0.005097389673295316,0.8157166362328859,1.8503806658635753,0.5420584604268457,0.5480498105695226,0.9221818696674068,1.5416735360563207
translation_z_mm,mm,0.7728211535385017,0.5580010605938952,0.4786708047408854,0.8451387339778107,1.2026134266715012,0.44045071277478104,0.6751845845777953,0.8876226980948705,0.9169684084736754
rotation_x_deg,degree,1.1045021116431666,0.04081077299335129,0.9986347363084819,0.9995348962617376,0.11896795647524527,0.045269618424247725,0.9983201110759278,0.9993800711530229,0.1482695470945714
rotation_y_deg,degree,1.1888399369878424,0.05273747817286572,0.9980321502078741,0.9991953902574832,0.18716340585697822,0.06047618103387105,0.9974122522193741,0.9992301790662006,0.17035302702652189
rotation_z_deg,degree,0.8725006533420969,0.11033695557110013,0.984007716807345,0.9962442897504548,0.2728756189887065,0.06474874822312192,0.9944927951425109,0.9985701454825237,0.15535254620991168
